test	value	p
any auc	0.549417444366157	3.03857558172881e-138
n_datasets cor	0.0574862981538133	2.0553280734829e-63
networkin STRING cor	0.0597749038849243	2.36362654160547e-25
invitro 0.2	167	1.65523134711426e-17
invitro 0.25	191	2.7004877568962e-16
known 0.2	110	4.86339676023271e-13
invitro 0.075	79	6.08689550625476e-13
literature 0.2	86	2.70648746619728e-11
known 0.075	55	5.55269263475245e-11
known 0.25	121	1.37841554568191e-10
literature 0.25	96	6.9050156804333e-10
known 0.05	40	2.20736846234879e-09
networkin cor	0.0343722046612068	2.24071856518783e-09
invitro 0.05	53	3.66263076940389e-09
known 0.025	25	2.59505913795627e-08
networkin_biogrid cor	0.0351445716731368	4.4439769174841e-08
invitro 0.025	31	1.80606470145189e-07
literature 0.075	38	4.98628538334566e-07
known 0.01	13	1.64047209296708e-06
literature 0.05	28	2.19205050025168e-06
gold4 auc	0.53509553938915	3.69281669198905e-06
invitro 0.01	16	3.93102730456186e-06
literature 0.01	10	1.59890142411576e-05
literature 0.025	15	0.000157005460494698
ptmod cor	-0.15753216124255	0.00113570811465168
fasolo auc	0.604859371622567	0.00264238514474026
literature 0.01	6	0.0221312392167279
inhibition cor	-0.124758629689577	0.0799040744937606
catalysis cor	-0.0395907078935467	0.101512798288447
fiedler auc	0.52056747663841	0.122542782397024
known 0.01	8	0.141937056879018
phosphatase auc	0.549833289456092	0.238330926259083
known 0.075	48	0.255391501390297
known 0.05	32	0.284165094075243
invitro 0.075	59	0.322851156258621
invitro 0.01	8	0.338341327518212
activation cor	-0.0515744250393834	0.345947384187181
literature 0.025	7	0.389855014109989
undirected cor	0.00481130632562963	0.472552386348213
invitro 0.05	37	0.493478928695729
literature 0.075	20	0.512198860757784
kinase auc	0.495481860306841	0.599846216802091
known 0.025	13	0.620911798863248
reaction cor	0.0161221548020125	0.627744551380652
EMAP cor	-0.0351660856843224	0.670272975008332
known 0.2	112	0.727025594343505
invitro 0.2	143	0.729362922587505
literature 0.05	11	0.734290759460222
invitro 0.025	15	0.775887244704369
known 0.25	138	0.817669336027052
yeastkid cor	0.00241931332098073	0.873057777421994
expression cor	-0.030753386274644	0.878971251683515
invitro 0.25	172	0.903494232052604
netphorest cor	-0.000621567845003084	0.941256627359147
literature 0.2	40	0.989714169449722
literature 0.25	50	0.996414262227978
gold2 auc	0.449646565618081	0.999859780046712
biogrid auc	0.435603075701155	0.99990039431994
parca auc	0.393229307183102	0.999974258717265
gold1 auc	0.454147265280956	0.999991345439335
gold3 auc	0.375295200736501	0.999999968198366
