test	value	p
any auc	0.557459776867253	2.06083602610204e-187
n_datasets cor	0.0799919764747447	3.42147468748841e-121
networkin STRING cor	0.08312382227698	1.60117145205688e-47
networkin cor	0.0475906351436583	1.22127995576402e-16
invitro 0.2	357	3.26249233655233e-16
invitro 0.25	424	6.40241592603788e-16
known 0.2	269	3.90834567372638e-14
known 0.25	313	1.2813038800384e-12
gold4 auc	0.545441579538877	3.18406106118162e-09
fiedler auc	0.599746584571035	7.67501748468591e-09
networkin_biogrid cor	0.0345755397827732	7.30193483603207e-08
known 0.075	109	1.3148339567348e-07
known 0.05	77	1.10434290297785e-06
invitro 0.075	135	1.36097500148865e-06
invitro 0.05	97	2.04239492548524e-06
litterature 0.25	160	0.000136008717887766
known 0.025	40	0.000145109856480849
fasolo auc	0.635232232316554	0.000153060270372347
litterature 0.2	132	0.000174746572863815
invitro 0.025	47	0.00125060907162169
netphorest cor	0.0265058050371098	0.00167242088836559
biogrid auc	0.543368072035715	0.00596312277368286
known 0.01	15	0.0177261488477766
ptmod cor	-0.108333661146578	0.0257003389952327
litterature 0.05	33	0.0429471661954698
litterature 0.075	46	0.0628700414728238
inhibition cor	-0.120197876104796	0.091652191333423
litterature 0.025	16	0.123991118377233
litterature 0.01	7	0.12979742056349
invitro 0.01	15	0.155427120308297
kinase auc	0.512449818503959	0.242111284512586
expression cor	-0.187549167197351	0.348877081875867
activation cor	-0.0492313057632107	0.36832923661235
parca auc	0.506268939171779	0.405715418245387
undirected cor	0.00497466777360704	0.457649607499133
phosphatase auc	0.503571285814511	0.479589971400825
gold2 auc	0.499613114058689	0.511156006439426
EMAP cor	-0.0367205613306055	0.656604040467627
reaction cor	0.012238188484572	0.712816427007082
yeastkid cor	0.00514788313612925	0.733873872776911
gold1 auc	0.488916080620621	0.850656617448511
catalysis cor	0.00155956517849489	0.948586456163374
gold3 auc	0.443621662730657	0.992764006163568
