"List of known kinase-substrate and phosphatase-substrate pairs for which the EMAP contained interaction scores.",,,,,
"The kinase (or phosphatase) is listed in column A/B, the substrates are listed in column C/D, and the genetic interaction score is listed in column E",,,,,
Kinase,,Substrate,,Score,"Type of interaction"
"ORF name","Gene name","ORF name","Gene name",,
YBL088C,TEL1,YDL101C,DUN1,-0.504324,Phosphorylation
YBL088C,TEL1,YNL312W,RFA2,-0.659766,Phosphorylation
YBL088C,TEL1,YPL153C,RAD53,0.605436,Phosphorylation
YDL101C,DUN1,YDR216W,ADR1,0.957693,Phosphorylation
YPL031C,PHO85,YMR311C,GLC8,0.267896,Phosphorylation
YPL031C,PHO85,YOR171C,LCB4,0.751153,Phosphorylation
YPL031C,PHO85,YFL033C,RIM15,0.410873,Phosphorylation
YCR073C,SSK22,YJL128C,PBS2,0.383335,Phosphorylation
YER129W,SAK1,YER027C,GAL83,-0.904213,Phosphorylation
YER129W,SAK1,YDR477W,SNF1,0.563126,Phosphorylation
YER129W,SAK1,YGL208W,SIP2,0.115829,Phosphorylation
YER129W,SAK1,YDR028C,REG1,2.719591,Phosphorylation
YBL016W,FUS3,YNL053W,MSG5,0.177769,Phosphorylation
YBL016W,FUS3,YJL157C,FAR1,0.008314,Phosphorylation
YHR135C,YCK1,YCL032W,STE50,0.207627,Phosphorylation
YHR135C,YCK1,YDR208W,MSS4,0.683665,Phosphorylation
YNL154C,YCK2,YCL032W,STE50,0.638762,Phosphorylation
YNL154C,YCK2,YOR119C,RIO1,0.436855,Phosphorylation
YNL154C,YCK2,YDR208W,MSS4,0.255474,Phosphorylation
YFL029C,CAK1,YKL139W,CTK1,3.392276,Phosphorylation
YFL029C,CAK1,YJL106W,IME2,0.941387,Phosphorylation
YFL029C,CAK1,YPR054W,SMK1,2.039151,Phosphorylation
YBR160W,CDC28,YIL095W,PRK1,0.920178,Phosphorylation
YBR160W,CDC28,YER129W,SAK1,0.27712,Phosphorylation
YBR160W,CDC28,YKL116C,PRR1,-0.032797,Phosphorylation
YBR160W,CDC28,YNL054W,VAC7,0.121664,Phosphorylation
YBR160W,CDC28,YMR036C,MIH1,-0.182306,Phosphorylation
YBR160W,CDC28,YLR386W,VAC14,-1.02774,Phosphorylation
YBR160W,CDC28,YBL085W,BOI1,0.928468,Phosphorylation
YBR160W,CDC28,YJR059W,PTK2,0.933988,Phosphorylation
YBR160W,CDC28,YNL309W,STB1,-0.330585,Phosphorylation
YBR160W,CDC28,YDR507C,GIN4,0.092341,Phosphorylation
YBR160W,CDC28,YKL048C,ELM1,-1.90522,Phosphorylation
YBR160W,CDC28,YKL101W,HSL1,-1.38202,Phosphorylation
YBR160W,CDC28,YLR238W,FAR10,0.993798,Phosphorylation
YBR160W,CDC28,YKL213C,DOA1,-0.149668,Phosphorylation
YBR160W,CDC28,YGR092W,DBF2,0.575491,Phosphorylation
YBR160W,CDC28,YAR002W,NUP60,-0.28465,Phosphorylation
YBR160W,CDC28,YLR079W,SIC1,0.740743,Phosphorylation
YBR160W,CDC28,YCR065W,HCM1,0.567536,Phosphorylation
YBR160W,CDC28,YDL025C,YDL025C,0.106438,Phosphorylation
YBR160W,CDC28,YHL007C,STE20,-0.380354,Phosphorylation
YBR160W,CDC28,YJL157C,FAR1,1.097873,Phosphorylation
YBR160W,CDC28,YPR111W,DBF20,0.33512,Phosphorylation
YBR160W,CDC28,YJL165C,HAL5,0.025725,Phosphorylation
YBR160W,CDC28,YOL100W,PKH2,0.618868,Phosphorylation
