test	value	p
any auc	0.55013882671913	3.05548002783858e-142
n_datasets cor	0.0584281580529608	1.88451535801431e-65
networkin STRING cor	0.059588048409808	3.32594344484029e-25
invitro 0.25	198	7.33600023868902e-19
invitro 0.2	170	1.13234458394862e-18
known 0.2	111	1.91117348701795e-13
literature 0.2	87	1.01299811799845e-11
invitro 0.075	76	1.15415319719172e-11
known 0.25	124	1.18583045621118e-11
known 0.075	55	5.55269263475245e-11
literature 0.25	97	2.8618948645457e-10
known 0.05	41	6.72249016681437e-10
invitro 0.05	54	1.35816629540687e-09
networkin cor	0.0344595347993463	2.04087133121515e-09
gold4 auc	0.542719789854572	2.43487987586014e-08
known 0.025	25	2.59505913795627e-08
networkin_biogrid cor	0.03528424224172	3.92941515499002e-08
literature 0.075	38	4.98628538334566e-07
invitro 0.025	30	5.53744061858983e-07
literature 0.05	29	7.19294126170182e-07
known 0.01	13	1.64047209296708e-06
invitro 0.01	16	3.93102730456186e-06
literature 0.01	10	1.59890142411576e-05
literature 0.025	15	0.000157005460494698
ptmod cor	-0.156342000406509	0.0012393876757591
fasolo auc	0.607991444365329	0.0020364940767607
literature 0.01	6	0.0221312392167279
inhibition cor	-0.125235649392306	0.0787488708364735
catalysis cor	-0.0391275112584686	0.105578626296087
fiedler auc	0.520270769828746	0.125980196709184
known 0.01	8	0.141937056879018
known 0.075	48	0.255391501390297
phosphatase auc	0.542752054075139	0.270748047168301
known 0.05	32	0.284165094075243
invitro 0.075	59	0.322851156258621
activation cor	-0.0524788423905233	0.33754402125865
invitro 0.01	8	0.338341327518212
literature 0.025	7	0.389855014109989
undirected cor	0.00483960173489756	0.469952135976577
invitro 0.05	37	0.493478928695729
literature 0.075	20	0.512198860757784
known 0.025	13	0.620911798863248
kinase auc	0.494423361367134	0.622559185253576
reaction cor	0.015923044442287	0.631999476067085
EMAP cor	-0.0349378430058697	0.672289240423474
known 0.2	112	0.727025594343505
invitro 0.2	143	0.729362922587505
literature 0.05	11	0.734290759460222
invitro 0.025	15	0.775887244704369
known 0.25	138	0.817669336027052
yeastkid cor	0.0030415729160941	0.840799467676037
invitro 0.25	172	0.903494232052604
expression cor	-0.0243048512811065	0.904219185961186
netphorest cor	-0.000988052993972661	0.906749481265546
literature 0.2	40	0.989714169449722
literature 0.25	50	0.996414262227978
gold2 auc	0.453910821153954	0.999558049376698
biogrid auc	0.436858684852507	0.999867588456379
parca auc	0.399784753258026	0.999927712410003
gold1 auc	0.458141060551823	0.999956231803094
gold3 auc	0.379241884481447	0.999999918486213
