test	value	p
any auc	0.557451599137023	2.32653327123695e-187
n_datasets cor	0.0799785873480977	3.75185953636085e-121
networkin STRING cor	0.0831712079898632	1.41932285695141e-47
invitro 0.2	181	2.94849045704778e-23
invitro 0.25	202	2.05768052438968e-20
invitro 0.075	92	3.8142680584896e-19
known 0.2	119	6.49349013506221e-17
networkin cor	0.0476152902629015	1.17800101416918e-16
known 0.075	65	2.92061180542013e-16
literature 0.2	96	6.36578389970048e-16
invitro 0.05	66	2.00187313422937e-15
known 0.25	131	2.38655507058568e-14
literature 0.25	105	1.30617337157832e-13
known 0.05	46	1.1787846678073e-12
literature 0.075	48	5.13491287022938e-12
known 0.025	28	3.32004630439112e-10
gold4 auc	0.545385894855538	3.32215596603626e-09
invitro 0.025	34	5.15756348863288e-09
literature 0.05	33	5.80024073971914e-09
fiedler auc	0.599947352364817	7.18200300067474e-09
known 0.01	16	7.61297014594356e-09
invitro 0.01	19	4.20656142348021e-08
networkin_biogrid cor	0.0345943479431046	7.18393918162719e-08
literature 0.01	12	4.25761703510529e-07
literature 0.025	18	3.50724421658568e-06
fasolo auc	0.635217729220441	0.000153288895147797
netphorest cor	0.0264351063457964	0.0017209714959232
biogrid auc	0.543072840241901	0.00625886910949173
known 0.01	11	0.0170240056181516
ptmod cor	-0.108211798251306	0.0258681177440408
literature 0.01	5	0.0608912639866968
invitro 0.01	11	0.0768082942951132
inhibition cor	-0.120209748083984	0.0916199129239245
known 0.05	36	0.0977232349876834
known 0.075	52	0.10342766472657
invitro 0.075	64	0.127349418734688
invitro 0.05	43	0.157019652068012
invitro 0.25	198	0.179666142150174
known 0.2	126	0.19982730160325
known 0.25	156	0.207176090744328
invitro 0.2	158	0.220980162542008
kinase auc	0.513407503749794	0.225623547425677
known 0.025	17	0.23065216071161
literature 0.075	22	0.336527455030601
expression cor	-0.187609604928987	0.348718965205794
activation cor	-0.0493334548399148	0.367335173698022
literature 0.025	7	0.389855014109989
parca auc	0.505929060460679	0.410738571546876
literature 0.05	14	0.413079227306953
invitro 0.025	19	0.418319191715814
undirected cor	0.00496523661519166	0.458502734298772
phosphatase auc	0.503678107370136	0.478979980504236
gold2 auc	0.499416725255993	0.516806605082433
EMAP cor	-0.0367355996661309	0.656472348992123
reaction cor	0.0123070388398648	0.711272898381802
yeastkid cor	0.00517678442124838	0.732436915525784
gold1 auc	0.488686258642119	0.855610025495418
literature 0.2	47	0.884446412243348
literature 0.25	59	0.914326769957585
catalysis cor	0.00156718055029201	0.948335753335493
gold3 auc	0.443301444982588	0.993037987391826
