test	value	p
any auc	0.54952587810328	7.68183397412308e-139
n_datasets cor	0.0574598100606376	2.34265637441748e-63
networkin STRING cor	0.0597821693272734	2.33239378507552e-25
networkin cor	0.0343868721715956	2.2058702371313e-09
invitro 0.25	390	2.40872027407269e-09
known 0.2	245	9.79307338862609e-09
invitro 0.2	320	1.06155112985678e-08
known 0.25	293	1.55530265994154e-08
networkin_biogrid cor	0.0351306697473023	4.49863026675448e-08
gold4 auc	0.535270089454231	3.32562603406426e-06
known 0.075	95	0.000176367609620366
known 0.05	68	0.00019922439291383
invitro 0.05	86	0.000443063625567886
invitro 0.075	121	0.000476702186303886
ptmod cor	-0.158448134949047	0.00106142102815078
fasolo auc	0.60628921796127	0.00234802917758152
known 0.025	34	0.00569575333522138
invitro 0.025	41	0.0206477037299112
litterature 0.25	140	0.0498214838885627
known 0.01	13	0.0633083502393093
inhibition cor	-0.124732474534608	0.0799678078378824
catalysis cor	-0.0396094905058596	0.101350594763337
fiedler auc	0.520911052737941	0.118645251709488
litterature 0.01	7	0.12979742056349
invitro 0.01	15	0.155427120308297
litterature 0.2	108	0.158585832084507
litterature 0.05	28	0.224877438816056
phosphatase auc	0.552765713450832	0.225556507989379
activation cor	-0.051714163501363	0.344640413120019
litterature 0.075	38	0.413338930673079
undirected cor	0.00477550245603287	0.475853961365187
litterature 0.025	12	0.475960772594845
kinase auc	0.495139730560155	0.607228661862101
reaction cor	0.0161772502847793	0.626569349600842
EMAP cor	-0.035168100531433	0.670255186554618
expression cor	-0.0310566420869437	0.877786561321463
yeastkid cor	0.00219066963758465	0.88496698963005
netphorest cor	-0.000559824333954675	0.947082872223275
gold2 auc	0.449692389672044	0.999857972120585
biogrid auc	0.436087476561317	0.999888765319994
parca auc	0.394357348691902	0.999969124353681
gold1 auc	0.45429769421234	0.999990778265399
gold3 auc	0.375527358603851	0.999999966361447
