test	value	p
any auc	0.549664441476431	1.31953225789863e-139
n_datasets cor	0.0574436610777335	2.5371240287235e-63
networkin STRING cor	0.059780770300853	2.3383759710939e-25
networkin cor	0.0343656190201648	2.25653918762011e-09
invitro 0.25	390	2.40872027407269e-09
invitro 0.2	321	7.16361303769567e-09
known 0.2	245	9.79307338862609e-09
known 0.25	293	1.55530265994154e-08
networkin_biogrid cor	0.0351344414119838	4.48373845700225e-08
gold4 auc	0.534865438498141	4.23643596782274e-06
known 0.075	96	0.00011307411062619
known 0.05	68	0.00019922439291383
invitro 0.075	122	0.000331387138297388
invitro 0.05	86	0.000443063625567886
ptmod cor	-0.157517783543786	0.00113691144149967
fasolo auc	0.6041405743385	0.0028026089360762
known 0.025	34	0.00569575333522138
invitro 0.025	41	0.0206477037299112
litterature 0.25	140	0.0498214838885627
known 0.01	13	0.0633083502393093
inhibition cor	-0.124702229976777	0.0800415571012275
catalysis cor	-0.0396515370095936	0.100988235723217
fiedler auc	0.520287361117272	0.125786226010161
litterature 0.01	7	0.12979742056349
invitro 0.01	15	0.155427120308297
litterature 0.2	108	0.158585832084507
litterature 0.05	28	0.224877438816056
phosphatase auc	0.551096540497775	0.232779847720497
activation cor	-0.0516488859414342	0.345250562063674
litterature 0.075	39	0.34929029746525
litterature 0.025	12	0.475960772594845
undirected cor	0.00477209298335987	0.476169016511855
kinase auc	0.495695775484675	0.595211995659179
reaction cor	0.0160151453985077	0.630029784276517
EMAP cor	-0.0351235303613227	0.670648725351362
yeastkid cor	0.00242032590605968	0.873005097427819
expression cor	-0.0313958684820113	0.876461653787207
netphorest cor	-0.000571623647207035	0.94596923637658
gold2 auc	0.449806295177607	0.999853383067126
biogrid auc	0.436793690893618	0.999869509500802
parca auc	0.394624207731679	0.999967775159128
gold1 auc	0.454178372498248	0.99999123095064
gold3 auc	0.37524716807429	0.999999968566096
