test	value	p
any auc	0.556621271732833	4.73386544468498e-182
n_datasets cor	0.0793432569352534	2.92481805458382e-119
networkin STRING cor	0.0824045341817968	9.89695394279296e-47
invitro 0.2	179	2.18505803932515e-22
invitro 0.25	202	2.05768052438968e-20
invitro 0.075	91	1.24571779037054e-18
networkin cor	0.047197311193789	2.1663065434307e-16
known 0.075	65	2.92061180542013e-16
known 0.2	117	5.2090716518777e-16
literature 0.2	94	6.21302453135019e-15
invitro 0.05	65	6.78795796585885e-15
known 0.25	130	6.0385151150588e-14
literature 0.25	104	3.63757409170532e-13
known 0.05	46	1.1787846678073e-12
literature 0.075	48	5.13491287022938e-12
known 0.025	28	3.32004630439112e-10
invitro 0.025	34	5.15756348863288e-09
literature 0.05	33	5.80024073971914e-09
fiedler auc	0.600185219511989	6.63762495057586e-09
known 0.01	16	7.61297014594356e-09
networkin_biogrid cor	0.0344211082997944	8.3444021433872e-08
gold4 auc	0.540681208400463	1.00460865137176e-07
invitro 0.01	18	2.01720515300089e-07
literature 0.01	12	4.25761703510529e-07
literature 0.025	18	3.50724421658568e-06
fasolo auc	0.634946342517833	0.000157626418209167
netphorest cor	0.0257117063978382	0.0022977396457066
biogrid auc	0.542709792327663	0.00664030432828998
ptmod cor	-0.108451332889071	0.0255392214354307
known 0.01	10	0.0374036039506239
literature 0.01	5	0.0608912639866968
inhibition cor	-0.120982848970112	0.0895373933329412
known 0.05	36	0.0977232349876834
known 0.075	52	0.10342766472657
invitro 0.075	64	0.127349418734688
invitro 0.01	10	0.135433770600981
invitro 0.05	43	0.157019652068012
invitro 0.25	198	0.179666142150174
known 0.2	126	0.19982730160325
known 0.25	156	0.207176090744328
invitro 0.2	158	0.220980162542008
known 0.025	17	0.23065216071161
parca auc	0.518301153847658	0.243057584945429
kinase auc	0.508812498099653	0.310245685580177
literature 0.075	22	0.336527455030601
activation cor	-0.052562822452206	0.336770404464523
expression cor	-0.185892922464309	0.353226754324788
literature 0.025	7	0.389855014109989
literature 0.05	14	0.413079227306953
phosphatase auc	0.510228680829597	0.441722350591559
invitro 0.025	18	0.511388025323569
undirected cor	0.0039944093781802	0.550929524674584
gold2 auc	0.49786132593864	0.561348387438499
EMAP cor	-0.0359678082565331	0.663209357456351
reaction cor	0.010949413785204	0.741919502727369
yeastkid cor	0.00477583260548602	0.752453653398876
literature 0.2	47	0.884446412243348
literature 0.25	59	0.914326769957585
gold1 auc	0.484218426522663	0.930524309850057
gold3 auc	0.448432934395389	0.987345788960581
catalysis cor	0.000284502445099275	0.990614646826528
