test	value	p
any auc	0.557432858459477	3.07166523602547e-187
n_datasets cor	0.0799728605274247	3.90272178649079e-121
networkin STRING cor	0.0829655333618869	2.393946979339e-47
invitro 0.2	181	2.94849045704778e-23
invitro 0.25	202	2.05768052438968e-20
invitro 0.075	92	3.8142680584896e-19
known 0.2	119	6.49349013506221e-17
networkin cor	0.0475528212784322	1.29072115102385e-16
known 0.075	65	2.92061180542013e-16
literature 0.2	96	6.36578389970048e-16
invitro 0.05	66	2.00187313422937e-15
known 0.25	131	2.38655507058568e-14
literature 0.25	105	1.30617337157832e-13
known 0.05	46	1.1787846678073e-12
literature 0.075	48	5.13491287022938e-12
known 0.025	28	3.32004630439112e-10
gold4 auc	0.545686404745192	2.64033601292615e-09
invitro 0.025	34	5.15756348863288e-09
literature 0.05	33	5.80024073971914e-09
fiedler auc	0.599896698324782	7.30340804907433e-09
known 0.01	16	7.61297014594356e-09
invitro 0.01	19	4.20656142348021e-08
networkin_biogrid cor	0.0345410877183395	7.52296109841396e-08
literature 0.01	12	4.25761703510529e-07
literature 0.025	18	3.50724421658568e-06
fasolo auc	0.634617539448421	0.000163035537513838
netphorest cor	0.0264282905505328	0.00172571992834298
biogrid auc	0.543477588751926	0.00585660686516789
known 0.01	11	0.0170240056181516
ptmod cor	-0.108235521901165	0.0258353816476532
literature 0.01	5	0.0608912639866968
invitro 0.01	11	0.0768082942951132
inhibition cor	-0.120266760298611	0.091465030209332
known 0.05	36	0.0977232349876834
known 0.075	52	0.10342766472657
invitro 0.075	64	0.127349418734688
invitro 0.05	43	0.157019652068012
invitro 0.25	198	0.179666142150174
known 0.2	126	0.19982730160325
known 0.25	156	0.207176090744328
invitro 0.2	158	0.220980162542008
known 0.025	17	0.23065216071161
kinase auc	0.512683017439962	0.238037300310033
literature 0.075	22	0.336527455030601
expression cor	-0.187492605909588	0.349025095734512
activation cor	-0.0493574223698929	0.367102175127436
literature 0.025	7	0.389855014109989
parca auc	0.506814485069579	0.397685350113758
literature 0.05	14	0.413079227306953
invitro 0.025	19	0.418319191715814
undirected cor	0.00493870985805213	0.460907074963829
phosphatase auc	0.503926898219043	0.477559485327767
gold2 auc	0.499826523224285	0.505013186592273
EMAP cor	-0.0365686074271822	0.657935300401346
reaction cor	0.0120156111675777	0.717814309259878
yeastkid cor	0.00522418252535559	0.730082336533505
gold1 auc	0.488744758782101	0.854359789297158
literature 0.2	47	0.884446412243348
literature 0.25	59	0.914326769957585
catalysis cor	0.00143570700573565	0.95266464141852
gold3 auc	0.44499059360365	0.991482657724968
