test	value	p
any auc	0.556633122027338	3.98103586820378e-182
n_datasets cor	0.0793339354905327	3.11704030028553e-119
networkin STRING cor	0.0823790226290644	1.05543632728703e-46
invitro 0.2	179	2.18505803932515e-22
invitro 0.25	202	2.05768052438968e-20
invitro 0.075	91	1.24571779037054e-18
networkin cor	0.0471944032422492	2.17546758526062e-16
known 0.075	65	2.92061180542013e-16
known 0.2	117	5.2090716518777e-16
literature 0.2	94	6.21302453135019e-15
invitro 0.05	65	6.78795796585885e-15
known 0.25	130	6.0385151150588e-14
literature 0.25	104	3.63757409170532e-13
known 0.05	46	1.1787846678073e-12
literature 0.075	48	5.13491287022938e-12
known 0.025	28	3.32004630439112e-10
invitro 0.025	34	5.15756348863288e-09
literature 0.05	33	5.80024073971914e-09
fiedler auc	0.600113881372199	6.79653385744211e-09
known 0.01	16	7.61297014594356e-09
networkin_biogrid cor	0.0344172445585842	8.372248888481e-08
gold4 auc	0.540634626021131	1.03727600282558e-07
invitro 0.01	18	2.01720515300089e-07
literature 0.01	12	4.25761703510529e-07
literature 0.025	18	3.50724421658568e-06
fasolo auc	0.634953296057065	0.000157513861170755
netphorest cor	0.0257471646624518	0.0022657787189879
biogrid auc	0.542623232000043	0.00673422797862316
ptmod cor	-0.108480865674866	0.025498921746498
known 0.01	10	0.0374036039506239
literature 0.01	5	0.0608912639866968
inhibition cor	-0.120994832120814	0.0895054142555627
known 0.05	36	0.0977232349876834
known 0.075	52	0.10342766472657
invitro 0.075	64	0.127349418734688
invitro 0.01	10	0.135433770600981
invitro 0.05	43	0.157019652068012
invitro 0.25	198	0.179666142150174
known 0.2	126	0.19982730160325
known 0.25	156	0.207176090744328
invitro 0.2	158	0.220980162542008
known 0.025	17	0.23065216071161
parca auc	0.518230968942691	0.243894460024182
kinase auc	0.508689261431165	0.312693587800219
literature 0.075	22	0.336527455030601
activation cor	-0.0524842183273639	0.337494464579379
expression cor	-0.185886279985273	0.353244263490107
literature 0.025	7	0.389855014109989
literature 0.05	14	0.413079227306953
phosphatase auc	0.510303111332871	0.441301332917035
invitro 0.025	18	0.511388025323569
undirected cor	0.00396961945847112	0.553404262724424
gold2 auc	0.497797172263093	0.563172858950779
EMAP cor	-0.0359703240089948	0.663187238457896
reaction cor	0.0109365387633882	0.742212194247665
yeastkid cor	0.00475737299435028	0.753379351500958
literature 0.2	47	0.884446412243348
literature 0.25	59	0.914326769957585
gold1 auc	0.484057318994299	0.932518345121799
gold3 auc	0.448352879958372	0.987458896167315
catalysis cor	0.000281506501105034	0.990713474508404
