test	value	p
any auc	0.550029913522068	1.23688965447138e-141
n_datasets cor	0.0584097089442328	2.06743395996987e-65
networkin STRING cor	0.0595958336024159	3.27901743264604e-25
invitro 0.25	198	7.33600023868902e-19
invitro 0.2	170	1.13234458394862e-18
known 0.2	111	1.91117348701795e-13
invitro 0.075	77	4.39526178072596e-12
literature 0.2	87	1.01299811799845e-11
known 0.25	124	1.18583045621118e-11
known 0.075	55	5.55269263475245e-11
literature 0.25	97	2.8618948645457e-10
known 0.05	41	6.72249016681437e-10
invitro 0.05	54	1.35816629540687e-09
networkin cor	0.0344593468544513	2.04128218584563e-09
known 0.025	25	2.59505913795627e-08
gold4 auc	0.542568263264332	2.71459641264745e-08
networkin_biogrid cor	0.0352838648805951	3.93072426772774e-08
literature 0.075	38	4.98628538334566e-07
invitro 0.025	30	5.53744061858983e-07
literature 0.05	29	7.19294126170182e-07
known 0.01	13	1.64047209296708e-06
invitro 0.01	16	3.93102730456186e-06
literature 0.01	10	1.59890142411576e-05
literature 0.025	15	0.000157005460494698
ptmod cor	-0.156341550965185	0.00123942842238903
fasolo auc	0.608270777969916	0.00198911481085151
literature 0.01	6	0.0221312392167279
inhibition cor	-0.125223450639198	0.0787782437601689
catalysis cor	-0.0391344724873198	0.105516580900055
fiedler auc	0.520286965038766	0.125790854181833
known 0.01	8	0.141937056879018
known 0.075	48	0.255391501390297
phosphatase auc	0.542945711217917	0.269833093991162
known 0.05	32	0.284165094075243
invitro 0.075	59	0.322851156258621
activation cor	-0.0524445051851166	0.337860659691968
invitro 0.01	8	0.338341327518212
literature 0.025	7	0.389855014109989
undirected cor	0.00484205932908916	0.469726665278031
invitro 0.05	37	0.493478928695729
literature 0.075	20	0.512198860757784
kinase auc	0.494507716597638	0.620763436217481
known 0.025	13	0.620911798863248
reaction cor	0.0159286807987657	0.631878860561311
EMAP cor	-0.034914978717095	0.672491349413999
known 0.2	112	0.727025594343505
invitro 0.2	143	0.729362922587505
literature 0.05	11	0.734290759460222
invitro 0.025	15	0.775887244704369
known 0.25	138	0.817669336027052
yeastkid cor	0.00303853355683645	0.840956428075676
invitro 0.25	172	0.903494232052604
expression cor	-0.0243675793156601	0.90397310889134
netphorest cor	-0.000973021417552581	0.908161802639301
literature 0.2	40	0.989714169449722
literature 0.25	50	0.996414262227978
gold2 auc	0.453827028598137	0.999567536308448
biogrid auc	0.436914159281449	0.999865927843167
parca auc	0.399833335288345	0.999927173108261
gold1 auc	0.458040310310743	0.999957916198582
gold3 auc	0.379153824600729	0.999999920155532
