test	value	p
any auc	0.549480385977663	1.3682779542984e-138
n_datasets cor	0.0574752968071028	2.17013410792233e-63
networkin STRING cor	0.0597781144382577	2.34977420232118e-25
invitro 0.2	167	1.65523134711426e-17
invitro 0.25	191	2.7004877568962e-16
known 0.2	110	4.86339676023271e-13
invitro 0.075	79	6.08689550625476e-13
literature 0.2	86	2.70648746619728e-11
known 0.075	55	5.55269263475245e-11
known 0.25	121	1.37841554568191e-10
literature 0.25	96	6.9050156804333e-10
known 0.05	40	2.20736846234879e-09
networkin cor	0.0343698610972078	2.24633606427541e-09
invitro 0.05	53	3.66263076940389e-09
known 0.025	25	2.59505913795627e-08
networkin_biogrid cor	0.0351407725912673	4.45884819006006e-08
invitro 0.025	31	1.80606470145189e-07
literature 0.075	38	4.98628538334566e-07
known 0.01	13	1.64047209296708e-06
literature 0.05	28	2.19205050025168e-06
gold4 auc	0.534993004611656	3.92626498491306e-06
invitro 0.01	16	3.93102730456186e-06
literature 0.01	10	1.59890142411576e-05
literature 0.025	15	0.000157005460494698
ptmod cor	-0.157544323720244	0.00113469110454678
fasolo auc	0.604644805269114	0.00268932445789904
literature 0.01	6	0.0221312392167279
inhibition cor	-0.124748372619026	0.079929063436288
catalysis cor	-0.0395963534705347	0.101464022326364
fiedler auc	0.520560259207857	0.122625609234162
known 0.01	8	0.141937056879018
phosphatase auc	0.550142727381742	0.236964501841565
known 0.075	48	0.255391501390297
known 0.05	32	0.284165094075243
invitro 0.075	59	0.322851156258621
invitro 0.01	8	0.338341327518212
activation cor	-0.0515715478785351	0.345974327202953
literature 0.025	7	0.389855014109989
undirected cor	0.004809563604003	0.4727127950163
invitro 0.05	37	0.493478928695729
literature 0.075	20	0.512198860757784
kinase auc	0.495532177461879	0.598757392487927
known 0.025	13	0.620911798863248
reaction cor	0.0161240541971838	0.627704021047255
EMAP cor	-0.0351543620698417	0.670376482756208
known 0.2	112	0.727025594343505
invitro 0.2	143	0.729362922587505
literature 0.05	11	0.734290759460222
invitro 0.025	15	0.775887244704369
known 0.25	138	0.817669336027052
yeastkid cor	0.00240866341968396	0.873611875259863
expression cor	-0.0309480573773357	0.878210725808732
invitro 0.25	172	0.903494232052604
netphorest cor	-0.000612609426609411	0.942101774675999
literature 0.2	40	0.989714169449722
literature 0.25	50	0.996414262227978
gold2 auc	0.449743450760745	0.99985593185665
biogrid auc	0.435615543758078	0.999900109889328
parca auc	0.393240841749657	0.999974210574044
gold1 auc	0.454227122614901	0.999991048620456
gold3 auc	0.375239162630589	0.999999968626982
