test	value	p
any auc	0.556616904418475	5.04584034199133e-182
n_datasets cor	0.0793413421426264	2.96331355725718e-119
networkin STRING cor	0.0824085261063442	9.79783982747068e-47
invitro 0.2	179	2.18505803932515e-22
invitro 0.25	202	2.05768052438968e-20
invitro 0.075	91	1.24571779037054e-18
networkin cor	0.0471994346110227	2.15964108565373e-16
known 0.075	65	2.92061180542013e-16
known 0.2	117	5.2090716518777e-16
literature 0.2	94	6.21302453135019e-15
invitro 0.05	65	6.78795796585885e-15
known 0.25	130	6.0385151150588e-14
literature 0.25	104	3.63757409170532e-13
known 0.05	46	1.1787846678073e-12
literature 0.075	48	5.13491287022938e-12
known 0.025	28	3.32004630439112e-10
invitro 0.025	34	5.15756348863288e-09
literature 0.05	33	5.80024073971914e-09
fiedler auc	0.600185219511989	6.63762495057586e-09
known 0.01	16	7.61297014594356e-09
networkin_biogrid cor	0.0344235975463039	8.32650917526964e-08
gold4 auc	0.540668625803747	1.01333322909408e-07
invitro 0.01	18	2.01720515300089e-07
literature 0.01	12	4.25761703510529e-07
literature 0.025	18	3.50724421658568e-06
fasolo auc	0.634945349155085	0.000157642503931369
netphorest cor	0.0257118212306699	0.00229763547601483
biogrid auc	0.542739488206482	0.00660835017494672
ptmod cor	-0.108446464391727	0.025545870132126
known 0.01	10	0.0374036039506239
literature 0.01	5	0.0608912639866968
inhibition cor	-0.120982464437509	0.0895384196748124
known 0.05	36	0.0977232349876834
known 0.075	52	0.10342766472657
invitro 0.075	64	0.127349418734688
invitro 0.01	10	0.135433770600981
invitro 0.05	43	0.157019652068012
invitro 0.25	198	0.179666142150174
known 0.2	126	0.19982730160325
known 0.25	156	0.207176090744328
invitro 0.2	158	0.220980162542008
known 0.025	17	0.23065216071161
parca auc	0.518326177992047	0.242759576528913
kinase auc	0.508819314683936	0.31011052860186
literature 0.075	22	0.336527455030601
activation cor	-0.0525625045884532	0.336773330455144
expression cor	-0.185883446892671	0.35325173150427
literature 0.025	7	0.389855014109989
literature 0.05	14	0.413079227306953
phosphatase auc	0.510216275745718	0.441792526618952
invitro 0.025	18	0.511388025323569
undirected cor	0.00399400192015129	0.550970156516253
gold2 auc	0.497869181490748	0.561124892344077
EMAP cor	-0.0359652235979438	0.66323208259389
reaction cor	0.0109501475987477	0.7419028218581
yeastkid cor	0.0047782012657337	0.75233489740979
literature 0.2	47	0.884446412243348
literature 0.25	59	0.914326769957585
gold1 auc	0.484213319367586	0.930588210190703
gold3 auc	0.448400912620582	0.987391137349471
catalysis cor	0.000287395881617487	0.990519200711655
