test	value	p
any auc	0.555873859043929	2.44171002997492e-177
n_datasets cor	0.0791034524823341	1.50043708692913e-118
networkin STRING cor	0.0818271435990683	4.22194998990215e-46
invitro 0.2	179	2.18505803932515e-22
invitro 0.25	202	2.05768052438968e-20
invitro 0.075	90	4.01291340068409e-18
networkin cor	0.047323793322912	1.80259921667033e-16
known 0.2	117	5.2090716518777e-16
known 0.075	64	1.07917337959934e-15
invitro 0.05	66	2.00187313422937e-15
literature 0.2	94	6.21302453135019e-15
known 0.25	130	6.0385151150588e-14
known 0.05	47	3.06668630534095e-13
literature 0.25	104	3.63757409170532e-13
literature 0.075	47	1.83014780424426e-11
known 0.025	28	3.32004630439112e-10
invitro 0.025	34	5.15756348863288e-09
literature 0.05	33	5.80024073971914e-09
gold4 auc	0.543649362651319	1.21809671808197e-08
known 0.01	15	4.87680424392396e-08
networkin_biogrid cor	0.0345582282929605	7.41219831570326e-08
fiedler auc	0.592532102602993	7.6712703318375e-08
invitro 0.01	17	9.16155218222218e-07
literature 0.01	11	2.72184005911455e-06
literature 0.025	18	3.50724421658568e-06
fasolo auc	0.633706625808995	0.000178942063738242
netphorest cor	0.0276953162826145	0.00102318461972041
biogrid auc	0.538547104066322	0.0127146742528471
ptmod cor	-0.109692759197443	0.0238918172894219
known 0.01	10	0.0374036039506239
literature 0.01	5	0.0608912639866968
inhibition cor	-0.121309905265425	0.0886678578642348
known 0.05	36	0.0977232349876834
known 0.075	52	0.10342766472657
invitro 0.075	64	0.127349418734688
invitro 0.01	10	0.135433770600981
invitro 0.05	43	0.157019652068012
invitro 0.25	198	0.179666142150174
known 0.2	126	0.19982730160325
known 0.25	156	0.207176090744328
invitro 0.2	158	0.220980162542008
known 0.025	17	0.23065216071161
literature 0.075	22	0.336527455030601
parca auc	0.511050505761418	0.337039383441099
phosphatase auc	0.526268454285198	0.353271231855296
expression cor	-0.185611269899514	0.353969625157319
activation cor	-0.0503139130960372	0.357878672934432
literature 0.025	7	0.389855014109989
kinase auc	0.504713757723706	0.395560715610348
literature 0.05	14	0.413079227306953
invitro 0.025	18	0.511388025323569
undirected cor	0.00328510262124266	0.623803295703503
gold2 auc	0.494259555297195	0.660679170062673
EMAP cor	-0.0361454848612389	0.661647904674205
reaction cor	0.0110025260784075	0.740712480246072
yeastkid cor	0.00436087998790866	0.77334590013607
literature 0.2	47	0.884446412243348
literature 0.25	59	0.914326769957585
gold1 auc	0.481137419150253	0.96151830109781
catalysis cor	0.000280081507841679	0.990760481038276
gold3 auc	0.433879037745667	0.997933785458719
