test	value	p
any auc	0.549074354806605	2.31025617130694e-136
n_datasets cor	0.0581089763740201	9.32067582572556e-65
networkin STRING cor	0.0597093740292601	2.66472455820853e-25
invitro 0.25	198	7.33600023868902e-19
invitro 0.2	170	1.13234458394862e-18
known 0.2	112	7.40304365961143e-14
invitro 0.075	78	1.64819620407728e-12
literature 0.2	88	3.72170502209992e-12
known 0.25	124	1.18583045621118e-11
known 0.075	55	5.55269263475245e-11
literature 0.25	97	2.8618948645457e-10
networkin cor	0.0344155162703154	2.1393307931204e-09
known 0.05	40	2.20736846234879e-09
invitro 0.05	53	3.66263076940389e-09
known 0.025	25	2.59505913795627e-08
networkin_biogrid cor	0.0352323976919037	4.11328889452644e-08
gold4 auc	0.540900533769816	8.77137234711074e-08
invitro 0.025	31	1.80606470145189e-07
literature 0.075	38	4.98628538334566e-07
known 0.01	13	1.64047209296708e-06
literature 0.05	28	2.19205050025168e-06
invitro 0.01	16	3.93102730456186e-06
literature 0.01	10	1.59890142411576e-05
literature 0.025	15	0.000157005460494698
ptmod cor	-0.156378899860261	0.00123604655010975
fasolo auc	0.61069637112668	0.00161790223582894
literature 0.01	6	0.0221312392167279
inhibition cor	-0.12501048334433	0.0792924664170938
catalysis cor	-0.0393577720047739	0.103541603786559
fiedler auc	0.521302950415196	0.114307469137234
known 0.01	8	0.141937056879018
phosphatase auc	0.551724375576319	0.230047919710308
known 0.075	48	0.255391501390297
known 0.05	32	0.284165094075243
invitro 0.075	59	0.322851156258621
invitro 0.01	8	0.338341327518212
activation cor	-0.0520065895259667	0.341915521288623
literature 0.025	7	0.389855014109989
undirected cor	0.00486194737845957	0.467904247735366
invitro 0.05	37	0.493478928695729
literature 0.075	20	0.512198860757784
kinase auc	0.495387145662065	0.601893658029103
known 0.025	13	0.620911798863248
reaction cor	0.0159735780847463	0.630918428208155
EMAP cor	-0.0345151768684017	0.676029174461913
known 0.2	112	0.727025594343505
invitro 0.2	143	0.729362922587505
literature 0.05	11	0.734290759460222
invitro 0.025	15	0.775887244704369
known 0.25	138	0.817669336027052
yeastkid cor	0.00294889602501626	0.84558835876625
expression cor	-0.0261375745917919	0.897033209132429
invitro 0.25	172	0.903494232052604
netphorest cor	-0.000665917564283118	0.937073617250329
literature 0.2	40	0.989714169449722
literature 0.25	50	0.996414262227978
gold2 auc	0.45318156406661	0.999634527281932
biogrid auc	0.438558342166278	0.999806869990251
parca auc	0.399956794250703	0.999925785511783
gold1 auc	0.45722595121924	0.999969450930834
gold3 auc	0.378241204018733	0.999999935619703
